compound_id	smiles	score_kcal_mol
|&1:6,7,15|	N#CC1=CC(N[C@@H]2[C@H]3CC4=CC=CC=C4[C@H]32)=CC=C1[N+](=O)[O-]	-6.667
|&1:11,12,20|	CC1=CC=C(S(N)(=O)=O)C(N[C@@H]2[C@H]3CC4=CC=CC=C4[C@H]32)=C1	-6.756
|&1:10,11,19|	C=C(OCC)C1=CN=C(N[C@@H]2[C@H]3CC4=CC=CC=C4[C@H]32)C=N1	-6.258
|&1:9,10,18|	O=C1COC2=C(N1)C(N[C@@H]1[C@H]3CC4=CC=CC=C4[C@H]31)=NC=N2	-6.886
|&1:8,9,17|	CCCNC1=NC(N[C@@H]2[C@H]3CC4=CC=CC=C4[C@H]32)=NC=C1F	-6.210
|&1:7,8,16|	NC1=CC=C2C(N[C@@H]3[C@H]4CC5=CC=CC=C5[C@H]43)=CC=NC2=N1	-6.853
101427200	O=[N+]([O-])C1=CC=CC2=NC=NC(SC3=CC(CO)=CC=C3)=C12	-6.345
101427232	COC(=O)C1=CC=CC([N+](=O)[O-])=C1SC1=CC(CO)=CC=C1	-5.479
101427712	CC1=NC(N2CC(CO)(CO)C2)=C2C(CC(C)C)=CSC2=N1	-5.414
101427776	COC1=CC(OC)=C2N=CN=C(N3CC(CO)(CO)C3)C2=C1	-5.271
101427808	CCOC(=O)C1=CN=C2C=CC(N3CC(CO)(CO)C3)=NN12	-5.582
101427840	COC1=CC2=C(N3CC(CO)(CO)C3)N=C(Cl)C=C2C=C1F	-5.824
101427904	OCC1(CO)CN(C2=NC3=CC(OC(F)F)=CC=C3C=C2)C1	-7.168
101427936	CC(C)OC1=CC=C2C=CC(N3CC(CO)(CO)C3)=NC2=C1	-5.668
101428000	C#CCOC1=CC2=CC=C(N3CC(CO)(CO)C3)N=C2C=C1	-5.629
101428032	CCOC(=O)C1=C(N2CC(CO)(CO)C2)C2=CC=CN2N=C1	-5.218
101428128	CN1C=CN=C1CCNC1=NC=NC2=C1C1=C(CCCC1)S2	-5.975
101428160	CNC(=O)C1=CC(NCCC2=NC=CN2C)=CC=C1[N+](=O)[O-]	-5.446
101428192	CN1C=CN=C1CCNC1=CC=C(S(=O)(=O)C(C)(C)C)N=C1	-5.465
101428224	CN1C=CN=C1CCNC1=NC2=CC=CC=C2C=C1[N+](=O)[O-]	-5.902
101428256	CN1C=CN=C1CCNC1=NC=CC2=CC([N+](=O)[O-])=CC=C21	-6.013
101428288	CN1C=CN=C1CCNC1=NC=C(C(F)(F)F)C=C1[N+](=O)[O-]	-5.641
101428320	CCOC(=O)NNC1=CC(NCCC2=NC=CN2C)=NC=N1	-6.223
101428352	CCOC(=O)C1=CN=C(SC)N=C1NCCC1=NC=CN1C	-4.719
101428384	CN1C=CN=C1CCNC1=CC=C([N+](=O)[O-])C=C1P(C)(C)=O	-5.348
101428416	CN1C=CN=C1CCNC1=NC=C(Br)C=C1C(=O)C(F)(F)F	-5.874
101428448	CN1C=CN=C1CCNC1=CC=C(C2(C(F)(F)F)CC2)C=N1	-5.870
101428480	COC(=O)C1=CC=C(NCCC2=NC=CN2C)N2N=CN=C12	-5.369
101428512	CN1C=CN=C1CCNC1=NC(C2=CC=CC=C2)=CC(=O)N1	-6.476
101428544	CC1=NN(C2=CC=C(NCCC3=NC=CN3C)N=N2)C(N)=C1	-6.340
101428576	COC(=O)C1=CN2C=CN=C(NCCC3=NC=CN3C)C2=N1	-5.696
101428608	COC(=O)C1=CC(NCCC2=NC=CN2C)=NC=C1[N+](=O)[O-]	-5.262
101428640	CN1C=CN=C1CCNC1=CC(C(F)(F)F)=CC=C1[N+](=O)[O-]	-5.618
101428736	C#CC1=CC=CN=C1NCCC1=NC(C2=CC=CC=C2)=CN1	-6.307
101428768	CC1=NC=C(I)C(NCCC2=NC(C3=CC=CC=C3)=CN2)=N1	-6.514
101428800	N#CC1=NC=NC=C1NCCC1=NC(C2=CC=CC=C2)=CN1	-6.064
101428832	FC1=NC=CC(NCCC2=NC(C3=CC=CC=C3)=CN2)=C1F	-6.259
101428864	NC1=NC=C(Cl)C(NCCC2=NC(C3=CC=CC=C3)=CN2)=N1	-6.787
101428928	CN(C)C1=NSC(NCCC2=NC(C3=CC=CC=C3)=CN2)=N1	-6.372
101428960	CCC1=NC=CN1CCNC1=CC=C(C#N)C(C(F)(F)F)=C1	-5.955
101428992	CCC1=NC=CN1CCNC1=CN=C2C=C(F)C(F)=CC2=N1	-5.814
101429024	CCC1=NC=CN1CCNC1=C(N)C(N2C=CC=N2)=NC=N1	-6.327
101429088	CCC1=NC=CN1CCNC1=C([N+](=O)[O-])C=CC=C1[N+](=O)[O-]	-5.418
101429120	CCC1=NC=CN1CCNC1=C(C#N)C=C([N+](=O)[O-])C(C)=C1	-4.931
101429152	CCC1=NC=CN1CCNC1=C2CCCC2=NC2=NC=NN21	-5.746
101429184	CCC1=NC=CN1CCNC1=CC(C)=NC2=C(Br)C(C)=NN12	-5.914
101429216	CCC1=NC=CN1CCNC1=CC=CC=C1S(=O)C(F)(F)F	-5.659
101429248	CCC1=NC=CN1CCNC1=NC=C(S(N)(=O)=O)C(C)=C1Br	-5.641
101429280	CCC1=NC=CN1CCNC1=CC=C(C2=CC=CC=N2)N=N1	-5.589
101429312	CCC1=NC=CN1CCNC1=NC=C(C2=CC=CC=C2)C=N1	-6.266
101429376	CCC1=NC=CN1CCNC1=NC=C(S(C)(=O)=O)C=C1C#N	-5.303
101429408	CCC1=NC=CN1CCNC1=CC(F)=C([N+](=O)[O-])C=C1OC	-5.308
101429440	CCC1=NC=CN1CCNC1=CC=NC2=CC=C(CO)C=C21	-5.723
101429472	CCC1=NC=CN1CCNC1=CC=NC(C2=NC=CC=N2)=N1	-5.964
101429568	CCC1=NC=CN1CCNC1=C2C(=C(C#N)C=C1)C=NN2C	-5.749
101429600	CCC1=NC=CN1CCNC1=C(Br)C=C(S(N)(=O)=O)C=C1C	-6.382
101429632	CCC1=NC=CN1CCNC1=CC(C#N)=C(F)C=C1[N+](=O)[O-]	-5.505
101429664	CCC1=NC=CN1CCNC1=NC=CN2C=C(C(=O)O)C=C12	-5.736
101429728	CNC(=O)[C@H](CC1=CNC=N1)NC1=NC=C([N+](=O)[O-])C=C1F	-6.352
101429792	CNC(=O)[C@H](CC1=CNC=N1)NC1=NC(Cl)=NC2=C1CCC2	-5.784
101429824	CNC(=O)[C@H](CC1=CNC=N1)NC1=CC=C(S(C)(=O)=O)N=N1	-5.635
101429856	CNC(=O)[C@H](CC1=CNC=N1)NC1=NC2=NC=C(Br)C=C2O1	-6.369
101429888	CNC(=O)[C@H](CC1=CNC=N1)NC1=NC=NC(C(C)(F)F)=C1	-5.974
101429920	CNC(=O)[C@H](CC1=CNC=N1)NC1=NC2=CC(C)=NN2C=C1	-5.960
101429952	NC(=O)C1=CN=C(NC2CC3=CN=CC=C3NC2=O)C(Cl)=C1	-6.466
101429984	O=C1NC2=CC=NC=C2CC1NC1=NC=NN2C(Br)=CC=C12	-6.730
101430016	CC(C)OC1=CC=NC(NC2CC3=CN=CC=C3NC2=O)=N1	-6.171
101430048	O=C1NC2=CC=NC=C2CC1NC1=NC=NC2=CC=CN=C21	-6.372
101430080	NC1=NC2=C(NC3CC4=CN=CC=C4NC3=O)N=CN=C2S1	-7.137
